,Movie Name,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross Collection,Certification,votes
165,Black Hawk Down, Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana,Action, Drama, History,108.64,R ,"407,529"
166,Mission: Impossible - Fallout, Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg,Action, Adventure, Thriller,220.16,PG-13 ,"345,248"
167,The Dirty Dozen, Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes,Action, Adventure, War,45.30,Approved ,"76,139"
168,The Count of Monte Cristo, Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc,Action, Adventure, Drama,54.23,PG-13 ,"142,759"
169,3:10 to Yuma, Russell Crowe, Christian Bale, Ben Foster, Logan Lerman,Action, Crime, Drama,53.61,R ,"320,494"
170,The Lego Movie, Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett,Animation, Action, Adventure,257.76,PG ,"369,662"
171,Star Trek Into Darkness, Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch,Action, Adventure, Sci-Fi,228.78,PG-13 ,"489,469"
172,The Last of the Mohicans, Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig,Action, Adventure, Drama,75.51,R ,"177,701"
173,Training Day, Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger,Action, Crime, Drama,76.63,R ,"450,527"
174,Man on Fire, Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell,Action, Crime, Drama,77.91,R ,"372,203"
175,X-Men: First Class, James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon,Action, Sci-Fi,Nan,146.41,PG-13 ,"705,114"
176,The Longest Day, John Wayne, Robert Ryan, Richard Burton, Henry Fonda,Action, Drama, History,39.10,G ,"57,454"
177,The Bourne Supremacy, Matt Damon, Franka Potente, Joan Allen, Brian Cox,Action, Mystery, Thriller,176.24,PG-13 ,"473,740"
178,The Magnificent Seven, Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach,Action, Adventure, Drama,4.91,Approved ,"98,334"
179,First Blood, Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney,Action, Adventure, Thriller,47.21,R ,"262,468"
180,Kung Fu Hustle, Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung,Action, Comedy, Fantasy,17.11,R ,"144,608"
181,The Boondock Saints, Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco,Action, Thriller,Nan,0.03,R ,"243,510"
182,Dirty Harry, Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni,Action, Crime, Thriller,35.90,R ,"161,847"
